                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 1.4183,                 2.0528,                0.69703,                 0.9354,                0.87945,                    0.8,                0.85142,                 0.4734,                0.85648,                    0.8,                0.81425,                0.23737,                 1.4911,                 1.8946,                0.71072,                 1.0286,              0.0012674,              0.0012674,              0.0012674
                     39,                 1.5304,                 2.3554,                0.71317,                0.96927,                0.82421,                0.82061,                0.85951,                0.45719,                 0.8375,                  0.875,                0.85517,                0.24628,                 1.3997,                 1.9856,                0.69568,                  1.006,              0.0012476,              0.0012476,              0.0012476
                     40,                 1.4453,                 2.0655,                0.74305,                0.96282,                0.92195,                    0.9,                0.89983,                0.44964,                0.84357,                0.80906,                0.78937,                0.25035,                 1.4529,                 1.9917,                0.72705,                 1.0215,              0.0012278,              0.0012278,              0.0012278
                     41,                 1.5893,                 2.1148,                0.75836,                0.98171,                0.76534,                   0.85,                0.83691,                0.45844,                0.79084,                0.66188,                0.75639,                0.23471,                 1.4322,                  2.022,                0.71053,                 1.0031,               0.001208,               0.001208,               0.001208
                     42,                  1.307,                 1.9794,                0.67994,                0.91809,                0.85768,                0.75339,                0.84107,                0.46247,                0.73464,                   0.65,                0.71876,                0.20629,                 1.4074,                 2.0725,                 0.6915,                0.99192,              0.0011882,              0.0011882,              0.0011882
                     43,                 1.3374,                 1.9417,                0.66792,                0.96505,                0.80892,                   0.85,                0.84687,                0.47384,                0.63053,                   0.65,                0.65315,                0.21865,                 1.3565,                 1.9857,                0.65959,                0.97643,              0.0011684,              0.0011684,              0.0011684
                     44,                 1.3906,                 2.1529,                0.68943,                0.96879,                0.88172,                  0.825,                0.86335,                0.48328,                  0.855,                    0.8,                0.79647,                0.26244,                 1.3841,                 1.8415,                0.68662,                0.99026,              0.0011486,              0.0011486,              0.0011486
                     45,                 1.4039,                 1.9152,                0.63185,                0.94713,                0.87967,                   0.85,                0.86722,                0.44882,                0.82615,                    0.8,                0.75925,                0.24853,                 1.5217,                 1.8935,                0.72462,                 1.0356,              0.0011288,              0.0011288,              0.0011288
                     46,                 1.5138,                 2.1026,                0.69424,                0.95265,                0.91802,                   0.75,                0.85135,                0.44856,                0.85642,                    0.7,                0.76398,                0.28281,                 1.6067,                 1.9281,                0.73788,                 1.0555,               0.001109,               0.001109,               0.001109
                     47,                 1.4359,                 1.9769,                0.71745,                0.95227,                0.77094,                   0.85,                0.85092,                0.51383,                0.80686,                   0.75,                0.78574,                0.28545,                 1.3781,                 1.8066,                0.70177,                0.99958,              0.0010892,              0.0010892,              0.0010892
                     48,                 1.3582,                 1.9065,                0.69335,                0.97271,                0.85296,                  0.875,                0.87253,                0.50078,                0.75405,                  0.775,                0.73864,                 0.2697,                 1.3935,                  1.813,                0.70654,                 1.0038,              0.0010694,              0.0010694,              0.0010694
                     49,                 1.2226,                 1.8119,                  0.641,                0.92448,                0.74538,                    0.8,                0.81532,                0.45629,                 0.6984,                   0.75,                0.71909,                0.24204,                 1.4106,                 1.9194,                0.72406,                0.99954,              0.0010496,              0.0010496,              0.0010496
                     50,                 1.3191,                 1.7736,                0.67259,                0.93695,                0.78871,                0.84004,                0.83043,                0.46845,                 0.7607,                   0.75,                0.75999,                0.22646,                 1.3985,                 1.9048,                0.73267,                0.99157,              0.0010298,              0.0010298,              0.0010298
                     51,                 1.2021,                 1.7375,                0.58868,                0.83883,                 0.8183,                  0.825,                0.85265,                 0.4867,                0.77369,                  0.775,                0.77425,                0.23439,                 1.3811,                 1.8021,                0.68438,                0.99348,                0.00101,                0.00101,                0.00101
                     52,                  1.302,                 1.8699,                0.65885,                0.91987,                0.84576,                  0.825,                0.86498,                0.50375,                0.84576,                  0.825,                0.83711,                0.28581,                 1.3332,                 1.8123,                0.67379,                0.99509,              0.0009902,              0.0009902,              0.0009902
                     53,                 1.3075,                 1.9382,                0.64876,                0.92189,                0.81768,                  0.825,                 0.8685,                0.48715,                0.81768,                  0.825,                0.86536,                0.29179,                 1.3458,                 1.7964,                0.69065,                0.99677,              0.0009704,              0.0009704,              0.0009704
                     54,                 1.2878,                   1.81,                0.62133,                0.93914,                0.83489,                  0.825,                0.85865,                 0.4913,                0.78429,                  0.775,                 0.7812,                0.26873,                 1.3574,                 1.8349,                 0.6983,                 0.9935,              0.0009506,              0.0009506,              0.0009506
                     55,                 1.4095,                 1.7676,                0.68749,                0.93545,                0.83225,                  0.825,                0.85276,                0.50388,                 0.7846,                  0.775,                0.78801,                0.24063,                 1.3571,                 1.8935,                0.68781,                0.99303,              0.0009308,              0.0009308,              0.0009308
                     56,                  1.339,                 2.0044,                0.64422,                0.91948,                0.83034,                  0.825,                0.85379,                0.48852,                0.77832,                   0.75,                0.78824,                0.27274,                  1.362,                 1.9143,                0.67663,                0.99648,               0.000911,               0.000911,               0.000911
                     57,                 1.2157,                 1.7904,                0.60083,                0.96216,                0.83412,                    0.8,                0.86463,                0.49025,                0.79099,                   0.75,                0.78104,                0.24951,                 1.4069,                 1.9306,                0.67725,                0.99879,              0.0008912,              0.0008912,              0.0008912
                     58,                  1.263,                 1.7945,                0.59971,                 0.9183,                 0.9409,                0.79609,                0.88509,                 0.4954,                0.77573,                  0.725,                0.77088,                0.24175,                 1.3895,                 1.9339,                 0.6776,                0.99863,              0.0008714,              0.0008714,              0.0008714
                     59,                 1.2751,                 1.7121,                0.62416,                0.93393,                 0.8879,                  0.825,                0.89365,                 0.4986,                 0.7384,                0.70578,                0.73853,                0.24109,                 1.3572,                 1.9157,                0.66923,                 0.9898,              0.0008516,              0.0008516,              0.0008516
                     60,                 1.2739,                 1.6917,                0.60346,                0.94257,                0.83623,                  0.775,                0.85643,                0.49219,                0.78048,                0.79996,                0.82688,                0.24568,                 1.3324,                 1.8712,                0.70218,                0.97015,              0.0008318,              0.0008318,              0.0008318
                     61,                 1.2255,                 1.7821,                0.61442,                0.92314,                0.87593,                  0.775,                0.85473,                0.48731,                0.78323,                0.72269,                0.79408,                0.25405,                 1.3458,                 1.7979,                0.70791,                 0.9738,               0.000812,               0.000812,               0.000812
                     62,                 1.2395,                 1.8007,                0.63665,                0.91588,                0.86375,                0.79255,                0.87877,                0.47413,                0.72808,                 0.6695,                0.71055,                0.25124,                 1.3729,                 1.7503,                0.71307,                 0.9804,              0.0007922,              0.0007922,              0.0007922
                     63,                 1.1994,                 1.7831,                0.59262,                0.93804,                0.81794,                0.78636,                0.84968,                0.47506,                0.76686,                0.74023,                0.78277,                0.26587,                 1.3842,                 1.7291,                 0.7124,                0.98077,              0.0007724,              0.0007724,              0.0007724
                     64,                 1.2664,                 1.7921,                0.61127,                0.93865,                0.83224,                   0.75,                0.83977,                0.47442,                0.82777,                   0.75,                0.82923,                0.24091,                 1.3793,                 1.7478,                0.70765,                0.97883,              0.0007526,              0.0007526,              0.0007526
                     65,                 1.2813,                 2.0679,                0.60269,                0.92351,                0.83682,                0.76937,                0.83927,                0.49127,                0.75562,                0.69581,                 0.7502,                0.24294,                 1.3155,                 1.7962,                0.65649,                0.95834,              0.0007328,              0.0007328,              0.0007328
                     66,                 1.1669,                 1.7806,                 0.5614,                0.89199,                0.82796,                  0.775,                0.83785,                0.47648,                0.80061,                   0.75,                0.79847,                0.27014,                 1.3065,                 1.8479,                0.65144,                0.96122,               0.000713,               0.000713,               0.000713
                     67,                 1.2749,                 1.9083,                0.64009,                 0.9438,                0.81784,                  0.775,                  0.838,                0.45454,                 0.8199,                0.79674,                0.81874,                0.27855,                 1.3534,                 1.8759,                0.67298,                0.97358,              0.0006932,              0.0006932,              0.0006932
                     68,                 1.2252,                 1.6905,                0.57077,                0.91184,                0.77347,                0.76836,                0.79158,                0.45878,                0.79984,                0.79924,                0.81458,                0.29012,                 1.3689,                 1.8551,                0.68387,                0.97645,              0.0006734,              0.0006734,              0.0006734
                     69,                 1.1278,                 1.6187,                0.52064,                0.83949,                0.79253,                  0.825,                0.83797,                0.47554,                0.79253,                  0.825,                0.82121,                0.28796,                 1.3651,                 1.8485,                0.68724,                0.96862,              0.0006536,              0.0006536,              0.0006536
                     70,                 1.3289,                 1.7879,                 0.6441,                 0.9244,                0.81106,                    0.8,                 0.8302,                0.47768,                0.79193,                  0.825,                0.85224,                0.29409,                   1.36,                 1.8091,                0.68883,                0.96494,              0.0006338,              0.0006338,              0.0006338
                     71,                  1.195,                 1.8614,                0.57319,                 0.9088,                0.81322,                   0.85,                0.84975,                0.47654,                0.81918,                   0.85,                0.83468,                0.30057,                 1.3693,                 1.8022,                0.68514,                0.96632,               0.000614,               0.000614,               0.000614
                     72,                  1.288,                 1.9367,                0.68636,                 0.9436,                0.79336,                  0.825,                0.85161,                0.47638,                 0.8174,                   0.85,                0.83381,                0.29628,                 1.3767,                 1.8171,                  0.685,                0.96535,              0.0005942,              0.0005942,              0.0005942
                     73,                 1.4008,                 1.6483,                0.67687,                0.95438,                0.89419,                  0.825,                 0.8531,                0.48683,                0.86074,                  0.825,                0.83589,                 0.2586,                 1.3699,                 1.8089,                0.66774,                0.96589,              0.0005744,              0.0005744,              0.0005744
                     74,                  1.203,                 1.8635,                0.58463,                0.89683,                0.85766,                   0.85,                0.85812,                0.49738,                0.87163,                   0.85,                0.84528,                0.28733,                  1.373,                 1.8503,                0.67475,                0.97155,              0.0005546,              0.0005546,              0.0005546
                     75,                 1.1334,                 1.7276,                0.54563,                0.90481,                0.84272,                  0.875,                0.86317,                0.49946,                0.82423,                   0.85,                0.84649,                 0.2814,                 1.3576,                 1.8759,                0.66781,                0.97722,              0.0005348,              0.0005348,              0.0005348
                     76,                 1.1918,                 1.7968,                0.55905,                0.90909,                0.87162,                0.84872,                0.86387,                 0.5072,                0.83833,                    0.8,                0.83694,                0.26958,                  1.305,                 1.8094,                0.67053,                0.96893,               0.000515,               0.000515,               0.000515
                     77,                 1.2373,                 1.6736,                0.57909,                0.94296,                0.85473,                  0.825,                0.86982,                0.50178,                0.76953,                 0.7513,                0.79799,                 0.2553,                 1.3017,                 1.8231,                0.67565,                0.96585,              0.0004952,              0.0004952,              0.0004952
                     78,                 1.1457,                 1.6012,                 0.5947,                0.88525,                0.87358,                  0.825,                0.86614,                0.50224,                0.80981,                   0.75,                0.78097,                0.25523,                 1.2863,                 1.8346,                0.68452,                0.95782,              0.0004754,              0.0004754,              0.0004754
                     79,                 1.1571,                 1.6687,                0.57712,                0.89719,                 0.8683,                  0.825,                0.84465,                0.49312,                0.80899,                   0.75,                0.76018,                0.28386,                 1.2395,                 1.8262,                0.66249,                0.95097,              0.0004556,              0.0004556,              0.0004556
                     80,                 1.2293,                 1.8253,                0.58767,                0.87478,                0.86956,                    0.8,                0.84289,                 0.4978,                0.83297,                0.74812,                0.75435,                0.28454,                 1.2298,                 1.8409,                0.65329,                0.95081,              0.0004358,              0.0004358,              0.0004358
                     81,                 1.1372,                 1.6388,                0.54836,                  0.909,                0.83949,                   0.85,                0.84483,                0.48985,                 0.8221,                  0.775,                0.76401,                0.26858,                 1.2507,                 1.8991,                0.64991,                0.95433,               0.000416,               0.000416,               0.000416
                     82,                 1.2649,                 1.7004,                0.57705,                0.90776,                0.84682,                0.82936,                0.84951,                0.48833,                0.77492,                  0.725,                0.72022,                 0.2438,                 1.2534,                 1.9126,                0.64747,                0.96084,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1564,                 1.5746,                 0.5536,                0.88842,                0.85767,                    0.8,                0.84925,                0.48819,                 0.7892,                   0.75,                0.74914,                0.25978,                 1.2628,                 1.9196,                0.64953,                 0.9698,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.1102,                 1.5899,                0.51875,                0.90069,                0.85819,                  0.825,                0.83022,                0.48905,                0.85704,                    0.8,                0.79498,                0.28436,                 1.2531,                  1.901,                0.66398,                0.97625,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.2081,                 1.8276,                0.58677,                0.91977,                0.85807,                  0.825,                0.83352,                0.49429,                0.81984,                  0.725,                0.73535,                0.28178,                  1.267,                 1.8979,                 0.6652,                0.97688,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.2068,                 1.6474,                0.55799,                0.90686,                0.83563,                    0.8,                0.79991,                0.48489,                0.81115,                  0.725,                  0.736,                0.27402,                 1.2945,                 1.9039,                0.66635,                0.97976,               0.000317,               0.000317,               0.000317
                     87,                 1.0948,                 1.6451,                0.54667,                0.90964,                0.84529,                   0.75,                0.78267,                0.47427,                0.75084,                  0.725,                0.71172,                0.21706,                 1.3678,                 1.9892,                0.69032,                0.98661,              0.0002972,              0.0002972,              0.0002972
                     88,                 1.1104,                 1.5483,                0.54975,                0.80373,                0.85701,                   0.75,                0.78417,                0.47653,                0.72123,                0.71165,                0.68776,                0.21824,                 1.3824,                 1.9827,                0.69469,                0.98998,              0.0002774,              0.0002774,              0.0002774
                     89,                 1.0628,                 1.5851,                0.53085,                0.87213,                0.86289,                0.78683,                0.80109,                0.48806,                0.75327,                  0.725,                0.73954,                0.22965,                   1.35,                 1.9201,                0.67823,                0.98326,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.1901,                 1.5191,                0.58165,                0.90265,                0.86637,                  0.825,                 0.8375,                0.50374,                0.80509,                  0.775,                0.82691,                0.29411,                 1.3611,                 1.9049,                0.67581,                0.98363,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0442,                 1.5303,                0.54153,                0.86984,                 0.8579,                  0.825,                0.82851,                0.50533,                0.79327,                0.76759,                0.76833,                0.28966,                 1.3983,                  1.926,                0.69059,                0.99158,               0.000218,               0.000218,               0.000218
                     92,                 1.2213,                 1.6658,                0.59004,                0.92535,                0.87069,                0.84179,                0.84058,                 0.5026,                0.81912,                0.79265,                0.81866,                0.29869,                 1.4625,                 1.9463,                0.69539,                 1.0108,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.1802,                 1.5877,                0.55815,                0.95075,                0.86364,                  0.825,                0.82535,                0.49321,                0.76781,                  0.775,                0.77323,                0.29466,                 1.4531,                 1.9437,                0.68032,                  1.008,              0.0001784,              0.0001784,              0.0001784
                     94,                 1.1211,                 1.4628,                 0.5163,                0.92325,                0.86745,                  0.825,                0.82667,                0.49772,                 0.7444,                   0.75,                 0.7568,                0.28565,                 1.4278,                 1.9455,                0.67135,                 1.0016,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.1276,                 1.5888,                0.57018,                0.88709,                0.81517,                  0.825,                0.82023,                0.51088,                0.74107,                   0.75,                0.74666,                0.26122,                 1.3716,                 1.9632,                0.65308,                0.98715,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.1435,                 1.4036,                 0.5265,                0.89461,                0.83969,                  0.825,                0.82376,                0.51357,                0.73284,                  0.725,                0.72618,                0.24998,                 1.3412,                 1.9888,                 0.6433,                0.98189,               0.000119,               0.000119,               0.000119
                     97,                 1.0674,                 1.4363,                0.50533,                0.91261,                0.86395,                    0.8,                0.82796,                0.52439,                0.74253,                   0.75,                0.75836,                0.25308,                 1.3153,                 2.0199,                0.63601,                0.97729,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                 1.0118,                  1.535,                 0.5071,                0.88706,                0.84296,                  0.825,                 0.8279,                0.51895,                0.76513,                   0.75,                0.77455,                0.26134,                 1.3156,                 2.0345,                0.63318,                0.97676,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                 1.0201,                 1.6076,                0.51115,                0.87143,                0.84594,                0.82371,                0.83793,                0.52177,                0.79474,                0.77438,                0.79398,                0.26306,                 1.3156,                 2.0399,                 0.6287,                0.97638,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0372,                 1.4968,                0.54914,                0.90201,                0.84554,                 0.8212,                0.83784,                0.51675,                 0.7942,                0.77187,                0.79394,                0.26435,                 1.3161,                 2.0562,                0.62594,                0.97655,               3.98e-05,               3.98e-05,               3.98e-05
