                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0315,                 4.6599,                 4.8834,                 1.6403,                      1,                0.11783,                0.15413,                0.04893,                0.21916,                  0.025,                0.00851,                0.00097,                 2.3589,                 3.8808,                 3.9159,                 1.2408,                 0.0002,                 0.0002,                 0.0002
                      2,                 2.0123,                 2.8955,                 1.9179,                 1.1144,                0.90845,                  0.675,                0.70896,                0.39286,                0.75199,                   0.55,                0.53911,                0.15825,                 1.6425,                  2.625,                  1.254,                 1.0366,             0.00041584,             0.00041584,             0.00041584
                      3,                 1.5938,                 2.7909,                 1.2893,                 1.0476,                0.91702,                  0.825,                0.83279,                0.38938,                0.67239,                   0.55,                0.49545,                0.17304,                 1.6389,                  2.539,                 1.8604,                 1.0464,             0.00062733,             0.00062733,             0.00062733
                      4,                 1.8593,                 2.8525,                 1.4974,                 1.0709,                0.86634,                    0.7,                0.75392,                0.39703,                0.72618,                0.59681,                0.53299,                0.14728,                 1.5904,                 2.6388,                 1.6334,                  1.014,             0.00083446,             0.00083446,             0.00083446
                      5,                 1.7545,                 2.6358,                  1.489,                 1.0586,                0.01392,                  0.325,                0.00756,                0.00437,                0.00753,                  0.275,                0.00524,                0.00161,                  1.685,                 3.1079,                 105.21,                  1.071,              0.0010372,              0.0010372,              0.0010372
                      6,                 1.7931,                 2.9407,                 2.2753,                 1.1147,                0.01958,                  0.825,                0.01689,                0.00703,                0.01365,                  0.575,                0.01033,                0.00305,                 1.6883,                 2.6746,                 661.12,                  1.119,              0.0012357,              0.0012357,              0.0012357
                      7,                 1.7441,                 2.5393,                 1.4302,                 0.9855,                0.18294,                  0.775,                0.16204,                0.05612,                 0.1319,                   0.55,                0.09355,                0.02751,                 2.0672,                 3.0537,                 88.538,                 1.3652,              0.0014297,              0.0014297,              0.0014297
                      8,                  1.716,                 2.6611,                 1.3402,                 1.0186,                      1,                0.42491,                0.61865,                 0.3474,                0.94079,                0.39739,                0.54677,                0.19003,                 1.6953,                 3.9226,                 1.4436,                 1.1925,              0.0016194,              0.0016194,              0.0016194
                      9,                 1.7574,                 2.3651,                 1.2693,                 1.0229,                0.12014,                  0.775,                0.11121,                 0.0482,                0.10072,                   0.65,                0.08352,                0.02684,                 1.6504,                 2.9026,                 96.304,                 1.1221,              0.0018048,              0.0018048,              0.0018048
                     10,                 1.8703,                 2.7284,                 1.0142,                 1.0446,                0.14142,                    0.8,                0.12635,                 0.0598,                0.13787,                  0.675,                0.11929,                0.03601,                 1.5975,                 3.1965,                 78.511,                 1.0957,              0.0018218,              0.0018218,              0.0018218
                     11,                 1.8345,                  2.541,                 1.1308,                 1.0921,                0.49135,                   0.75,                0.58101,                0.28886,                0.37411,                0.64263,                0.42947,                0.13932,                 1.6068,                 3.1492,                 1.9963,                 1.1073,               0.001802,               0.001802,               0.001802
                     12,                  1.946,                 2.5676,                 1.2205,                 1.0654,                0.84322,                0.67239,                0.72852,                0.31174,                0.78779,                   0.65,                0.64217,                0.22092,                 1.8222,                 2.5803,                 1.3865,                 1.1497,              0.0017822,              0.0017822,              0.0017822
                     13,                  1.776,                 2.4023,                0.91505,                 1.0165,                0.78708,                  0.725,                0.75635,                 0.3798,                0.73984,                  0.625,                0.61731,                0.17651,                 1.5883,                 2.8501,                 1.5973,                 1.1035,              0.0017624,              0.0017624,              0.0017624
                     14,                 1.6965,                 2.4629,                0.92325,                 1.0596,                0.75144,                  0.775,                0.77662,                0.38214,                0.78188,                    0.6,                0.55968,                0.15245,                 1.6651,                 2.4786,                 1.4325,                 1.0936,              0.0017426,              0.0017426,              0.0017426
                     15,                 1.5798,                 2.2853,                0.85818,                0.97969,                0.89071,                   0.85,                0.85117,                0.39922,                0.76091,                  0.675,                0.59948,                0.21334,                 1.7422,                  2.888,                 1.1723,                  1.153,              0.0017228,              0.0017228,              0.0017228
                     16,                 1.5764,                 2.4614,                0.85984,                 1.0273,                0.82569,                    0.8,                0.81382,                0.38874,                0.84531,                 0.8198,                0.80618,                0.24692,                 1.7793,                 2.3289,                 1.1385,                 1.1502,               0.001703,               0.001703,               0.001703
                     17,                 1.6948,                 2.3917,                0.93293,                 0.9966,                0.83444,                  0.725,                0.84212,                0.46353,                 0.8142,                0.54783,                0.60347,                0.18072,                 1.4651,                 2.4195,                0.76038,                  1.042,              0.0016832,              0.0016832,              0.0016832
                     18,                 1.6099,                 2.3552,                0.81495,                 1.0155,                0.80902,                  0.775,                0.86488,                0.45804,                0.86958,                  0.575,                0.67623,                0.19353,                 1.4398,                 2.3391,                0.75254,                 1.0178,              0.0016634,              0.0016634,              0.0016634
                     19,                 1.5523,                 2.0294,                0.84102,                 1.0165,                0.78477,                0.72934,                0.82631,                0.44437,                0.79752,                0.59099,                0.64226,                0.17125,                 1.4712,                 2.2769,                 0.7924,                 1.0136,              0.0016436,              0.0016436,              0.0016436
                     20,                 1.4895,                 2.0635,                0.80571,                 1.0007,                 0.8348,                   0.75,                0.80764,                0.45335,                0.93547,                   0.65,                0.74615,                0.24787,                 1.4358,                 2.3869,                0.77735,                 1.0072,              0.0016238,              0.0016238,              0.0016238
                     21,                 1.6198,                 2.0456,                0.81025,                 1.0227,                0.90011,                0.67584,                0.77602,                0.42455,                0.83465,                0.63113,                0.67537,                0.16888,                 1.4698,                 2.5933,                 0.7828,                 1.0173,               0.001604,               0.001604,               0.001604
                     22,                 1.3963,                 2.1352,                0.73106,                0.97498,                0.93176,                0.68291,                0.80594,                0.43947,                0.89928,                   0.65,                0.73155,                0.20828,                 1.4111,                 2.2479,                0.81271,                 1.0151,              0.0015842,              0.0015842,              0.0015842
                     23,                 1.5638,                 2.2633,                0.78518,                      1,                0.76762,                  0.825,                 0.8517,                0.45587,                0.72194,                0.71415,                0.71978,                0.18044,                 1.5654,                 2.4337,                0.80487,                 1.0443,              0.0015644,              0.0015644,              0.0015644
                     24,                 1.4024,                 1.9423,                0.73697,                0.89352,                0.87769,                    0.8,                0.85774,                0.42746,                0.78172,                  0.725,                0.75532,                0.24763,                 1.6839,                  2.354,                 0.8745,                   1.06,              0.0015446,              0.0015446,              0.0015446
                     25,                 1.5287,                 2.0206,                0.78111,                0.97324,                0.91021,                  0.825,                0.88401,                0.46072,                0.79872,                  0.675,                 0.7279,                0.22263,                 1.5309,                 1.9363,                0.79259,                 1.0271,              0.0015248,              0.0015248,              0.0015248
                     26,                 1.5751,                 2.2696,                 0.8025,                0.97535,                0.86012,                0.76875,                0.84758,                 0.4534,                 0.8319,                    0.6,                0.70635,                0.19462,                 1.5108,                 2.0408,                0.75792,                 1.0125,               0.001505,               0.001505,               0.001505
                     27,                 1.5647,                 2.0917,                0.78893,                 1.0219,                0.93409,                    0.7,                0.81732,                0.44613,                 0.8497,                  0.625,                0.73322,                0.22194,                 1.5537,                  1.934,                0.73887,                  1.034,              0.0014852,              0.0014852,              0.0014852
                     28,                 1.5123,                 1.9851,                0.73474,                 1.0138,                0.83616,                   0.75,                0.81164,                0.43132,                0.78012,                0.70976,                0.74356,                0.26147,                 1.5989,                 1.9623,                0.72423,                 1.0261,              0.0014654,              0.0014654,              0.0014654
                     29,                 1.4415,                 2.1046,                0.75959,                0.96616,                 0.8269,                   0.75,                0.80531,                0.45004,                0.73719,                0.70129,                0.71024,                0.24105,                 1.5093,                 2.0503,                0.74313,                 1.0167,              0.0014456,              0.0014456,              0.0014456
                     30,                 1.4513,                 2.1944,                0.72221,                0.97597,                0.86365,                  0.825,                0.86181,                0.43898,                0.70669,                    0.7,                0.70751,                0.22783,                 1.5063,                 2.0656,                0.71396,                 1.0159,              0.0014258,              0.0014258,              0.0014258
                     31,                 1.4732,                 2.1862,                0.74188,                0.99259,                0.86428,                  0.725,                0.82445,                0.46755,                0.82716,                0.59825,                0.69171,                0.22424,                 1.3554,                 2.1207,                0.69511,                0.99251,               0.001406,               0.001406,               0.001406
                     32,                 1.3864,                 2.1059,                0.68824,                0.92107,                 0.7333,                  0.875,                0.86721,                0.48231,                 0.8043,                0.71935,                0.76795,                0.23593,                 1.3466,                 2.1177,                0.68357,                0.98715,              0.0013862,              0.0013862,              0.0013862
                     33,                 1.4392,                 2.0505,                0.70791,                0.96009,                0.84484,                   0.75,                0.81819,                0.47802,                 0.7751,                0.68947,                0.72135,                0.23065,                 1.3108,                 1.8996,                0.67605,                0.97824,              0.0013664,              0.0013664,              0.0013664
                     34,                 1.4734,                 2.0328,                0.73637,                0.96267,                 0.8919,                   0.75,                0.84609,                0.47313,                0.81198,                   0.75,                 0.7635,                0.24316,                 1.3424,                 1.9223,                0.67264,                0.99202,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2817,                 1.6912,                0.64385,                0.85055,                0.88069,                0.73832,                0.85665,                0.46523,                0.81123,                   0.85,                0.87392,                0.28245,                 1.3756,                  1.879,                0.69454,                0.99279,              0.0013268,              0.0013268,              0.0013268
                     36,                 1.5262,                 2.0176,                0.79248,                0.99862,                0.82956,                  0.825,                0.84315,                 0.4912,                0.82956,                  0.825,                0.82748,                0.29871,                 1.4351,                 2.0596,                0.69984,                 1.0046,               0.001307,               0.001307,               0.001307
                     37,                  1.388,                 2.1474,                0.72036,                0.94385,                0.90519,                    0.8,                0.85003,                0.48743,                0.89312,                0.83576,                0.81682,                0.25075,                 1.4998,                 1.8223,                0.70118,                 1.0379,              0.0012872,              0.0012872,              0.0012872
