xCent -- yCent -- P#0X -- P#0Y -- P#1X -- P#1Y -- P#2X -- P#2Y -- t
696 -- 284 -- 702 -- 319 -- 692 -- 309 -- 725 -- 282 -- 72.0
697 -- 279 -- 700 -- 313 -- 697 -- 304 -- 726 -- 278 -- 73.0
713 -- 286 -- 714 -- 317 -- 712 -- 311 -- 742 -- 284 -- 74.0
721 -- 291 -- 720 -- 321 -- 718 -- 316 -- 750 -- 290 -- 75.0
728 -- 299 -- 726 -- 343 -- 726 -- 324 -- 753 -- 306 -- 76.0
733 -- 296 -- 730 -- 340 -- 728 -- 321 -- 762 -- 292 -- 77.0
737 -- 295 -- 732 -- 339 -- 732 -- 320 -- 766 -- 289 -- 78.0
738 -- 294 -- 731 -- 337 -- 729 -- 318 -- 767 -- 288 -- 79.0
736 -- 293 -- 732 -- 337 -- 732 -- 318 -- 764 -- 287 -- 80.0
738 -- 290 -- 732 -- 334 -- 730 -- 314 -- 767 -- 284 -- 81.0
736 -- 293 -- 734 -- 337 -- 732 -- 318 -- 764 -- 286 -- 82.0
737 -- 295 -- 736 -- 339 -- 734 -- 320 -- 766 -- 290 -- 83.0
746 -- 287 -- 740 -- 331 -- 737 -- 311 -- 775 -- 281 -- 84.0
741 -- 289 -- 736 -- 333 -- 736 -- 314 -- 770 -- 288 -- 85.0
742 -- 294 -- 736 -- 338 -- 737 -- 318 -- 771 -- 288 -- 86.0
739 -- 294 -- 735 -- 338 -- 734 -- 319 -- 767 -- 288 -- 87.0
748 -- 301 -- 742 -- 345 -- 743 -- 326 -- 776 -- 295 -- 88.0
742 -- 302 -- 740 -- 346 -- 738 -- 327 -- 771 -- 296 -- 89.0
753 -- 303 -- 747 -- 347 -- 746 -- 327 -- 781 -- 297 -- 90.0
753 -- 338 -- 742 -- 353 -- 740 -- 359 -- 767 -- 325 -- 91.0
765 -- 346 -- 740 -- 356 -- 745 -- 361 -- 793 -- 340 -- 92.0
750 -- 348 -- 730 -- 357 -- 729 -- 362 -- 778 -- 341 -- 93.0
747 -- 345 -- 725 -- 357 -- 727 -- 361 -- 775 -- 338 -- 94.0
746 -- 339 -- 720 -- 349 -- 726 -- 354 -- 775 -- 333 -- 95.0
736 -- 339 -- 718 -- 347 -- 715 -- 353 -- 764 -- 332 -- 96.0
738 -- 331 -- 722 -- 338 -- 722 -- 338 -- 766 -- 323 -- 97.0
734 -- 328 -- 714 -- 337 -- 715 -- 344 -- 762 -- 320 -- 98.0
732 -- 321 -- 713 -- 333 -- 715 -- 339 -- 760 -- 313 -- 99.0
705 -- 292 -- 706 -- 309 -- 704 -- 317 -- 711 -- 294 -- 100.0
692 -- 283 -- 688 -- 327 -- 692 -- 308 -- 709 -- 278 -- 101.0
692 -- 287 -- 692 -- 331 -- 692 -- 312 -- 711 -- 288 -- 102.0
700 -- 293 -- 708 -- 328 -- 706 -- 317 -- 729 -- 292 -- 103.0
721 -- 297 -- 722 -- 329 -- 720 -- 322 -- 749 -- 291 -- 104.0
721 -- 302 -- 720 -- 346 -- 721 -- 327 -- 742 -- 306 -- 105.0
719 -- 307 -- 716 -- 351 -- 719 -- 332 -- 748 -- 304 -- 106.0
727 -- 303 -- 724 -- 347 -- 722 -- 328 -- 756 -- 300 -- 107.0
732 -- 304 -- 729 -- 348 -- 730 -- 329 -- 761 -- 298 -- 108.0
727 -- 304 -- 722 -- 348 -- 722 -- 329 -- 756 -- 300 -- 109.0
730 -- 305 -- 723 -- 348 -- 722 -- 329 -- 759 -- 300 -- 110.0
728 -- 300 -- 724 -- 344 -- 725 -- 325 -- 757 -- 296 -- 111.0
728 -- 300 -- 726 -- 344 -- 723 -- 324 -- 757 -- 294 -- 112.0
726 -- 306 -- 722 -- 350 -- 720 -- 330 -- 755 -- 300 -- 113.0
732 -- 302 -- 726 -- 346 -- 724 -- 326 -- 760 -- 296 -- 114.0
740 -- 322 -- 728 -- 347 -- 731 -- 346 -- 765 -- 307 -- 115.0
732 -- 314 -- 738 -- 355 -- 730 -- 339 -- 761 -- 312 -- 116.0
737 -- 320 -- 736 -- 364 -- 736 -- 345 -- 766 -- 314 -- 117.0
740 -- 314 -- 734 -- 358 -- 737 -- 339 -- 769 -- 308 -- 118.0
736 -- 312 -- 730 -- 356 -- 730 -- 336 -- 765 -- 306 -- 119.0
750 -- 363 -- 732 -- 369 -- 730 -- 379 -- 778 -- 355 -- 120.0
747 -- 359 -- 720 -- 365 -- 727 -- 373 -- 775 -- 353 -- 121.0
745 -- 359 -- 726 -- 365 -- 724 -- 373 -- 773 -- 352 -- 122.0
736 -- 348 -- 716 -- 357 -- 718 -- 366 -- 764 -- 340 -- 123.0
733 -- 341 -- 716 -- 349 -- 714 -- 358 -- 761 -- 333 -- 124.0
724 -- 337 -- 706 -- 349 -- 706 -- 354 -- 751 -- 328 -- 125.0
731 -- 328 -- 714 -- 343 -- 715 -- 348 -- 758 -- 319 -- 126.0
735 -- 325 -- 716 -- 339 -- 717 -- 342 -- 763 -- 318 -- 127.0
696 -- 296 -- 702 -- 317 -- 696 -- 321 -- 693 -- 290 -- 128.0
695 -- 290 -- 702 -- 327 -- 700 -- 317 -- 723 -- 284 -- 129.0
691 -- 282 -- 698 -- 315 -- 698 -- 306 -- 715 -- 288 -- 130.0
719 -- 301 -- 710 -- 317 -- 707 -- 323 -- 733 -- 288 -- 131.0
708 -- 290 -- 714 -- 324 -- 708 -- 315 -- 727 -- 294 -- 132.0
723 -- 305 -- 720 -- 349 -- 722 -- 330 -- 752 -- 304 -- 133.0
728 -- 301 -- 728 -- 345 -- 728 -- 326 -- 757 -- 300 -- 134.0
741 -- 325 -- 730 -- 351 -- 732 -- 349 -- 764 -- 307 -- 135.0
743 -- 300 -- 736 -- 343 -- 738 -- 325 -- 772 -- 294 -- 136.0
744 -- 314 -- 729 -- 342 -- 735 -- 338 -- 768 -- 297 -- 137.0
743 -- 301 -- 738 -- 345 -- 739 -- 326 -- 772 -- 295 -- 138.0
741 -- 294 -- 735 -- 338 -- 735 -- 318 -- 770 -- 288 -- 139.0
737 -- 291 -- 734 -- 335 -- 730 -- 315 -- 765 -- 285 -- 140.0
739 -- 294 -- 736 -- 338 -- 732 -- 318 -- 767 -- 288 -- 141.0
742 -- 293 -- 737 -- 337 -- 739 -- 318 -- 771 -- 287 -- 142.0
744 -- 300 -- 740 -- 344 -- 738 -- 324 -- 772 -- 294 -- 143.0
748 -- 300 -- 744 -- 344 -- 744 -- 325 -- 777 -- 296 -- 144.0
759 -- 315 -- 744 -- 337 -- 749 -- 338 -- 786 -- 304 -- 145.0
758 -- 319 -- 744 -- 341 -- 749 -- 342 -- 786 -- 311 -- 146.0
748 -- 350 -- 728 -- 359 -- 728 -- 365 -- 775 -- 339 -- 147.0
741 -- 347 -- 722 -- 357 -- 724 -- 366 -- 769 -- 338 -- 148.0
742 -- 350 -- 714 -- 359 -- 723 -- 366 -- 771 -- 344 -- 149.0
737 -- 346 -- 710 -- 357 -- 716 -- 360 -- 765 -- 339 -- 150.0
740 -- 344 -- 720 -- 351 -- 720 -- 359 -- 768 -- 337 -- 151.0
750 -- 338 -- 729 -- 345 -- 730 -- 353 -- 778 -- 332 -- 152.0
738 -- 331 -- 720 -- 341 -- 719 -- 347 -- 766 -- 323 -- 153.0
739 -- 319 -- 712 -- 327 -- 718 -- 332 -- 767 -- 313 -- 154.0
734 -- 312 -- 724 -- 329 -- 723 -- 334 -- 749 -- 300 -- 155.0
701 -- 282 -- 706 -- 319 -- 699 -- 307 -- 723 -- 286 -- 156.0
697 -- 279 -- 704 -- 311 -- 694 -- 304 -- 726 -- 278 -- 157.0
704 -- 281 -- 708 -- 312 -- 702 -- 306 -- 733 -- 278 -- 158.0
709 -- 281 -- 714 -- 316 -- 704 -- 306 -- 731 -- 290 -- 159.0
724 -- 296 -- 723 -- 340 -- 723 -- 321 -- 753 -- 294 -- 160.0
731 -- 299 -- 726 -- 343 -- 726 -- 324 -- 760 -- 296 -- 161.0
735 -- 295 -- 734 -- 339 -- 735 -- 320 -- 764 -- 294 -- 162.0
739 -- 294 -- 736 -- 338 -- 735 -- 319 -- 767 -- 287 -- 163.0
741 -- 296 -- 735 -- 340 -- 732 -- 320 -- 770 -- 290 -- 164.0
740 -- 290 -- 734 -- 334 -- 731 -- 314 -- 769 -- 284 -- 165.0
740 -- 292 -- 734 -- 336 -- 731 -- 316 -- 769 -- 286 -- 166.0
738 -- 288 -- 732 -- 332 -- 732 -- 312 -- 767 -- 284 -- 167.0
742 -- 294 -- 736 -- 338 -- 733 -- 318 -- 770 -- 288 -- 168.0
738 -- 294 -- 734 -- 338 -- 732 -- 318 -- 767 -- 288 -- 169.0
751 -- 322 -- 746 -- 351 -- 742 -- 346 -- 774 -- 305 -- 170.0
748 -- 305 -- 744 -- 349 -- 739 -- 329 -- 776 -- 299 -- 171.0
752 -- 302 -- 746 -- 346 -- 743 -- 326 -- 781 -- 296 -- 172.0
748 -- 309 -- 744 -- 353 -- 744 -- 334 -- 777 -- 304 -- 173.0
752 -- 354 -- 726 -- 360 -- 731 -- 368 -- 781 -- 348 -- 174.0
745 -- 353 -- 722 -- 359 -- 724 -- 367 -- 774 -- 348 -- 175.0
746 -- 352 -- 723 -- 361 -- 726 -- 367 -- 775 -- 347 -- 176.0
739 -- 343 -- 714 -- 353 -- 718 -- 357 -- 767 -- 337 -- 177.0
732 -- 339 -- 705 -- 351 -- 712 -- 354 -- 760 -- 332 -- 178.0
725 -- 336 -- 706 -- 346 -- 706 -- 352 -- 753 -- 328 -- 179.0
733 -- 327 -- 712 -- 335 -- 713 -- 341 -- 761 -- 320 -- 180.0
729 -- 322 -- 708 -- 331 -- 710 -- 338 -- 757 -- 315 -- 181.0
688 -- 291 -- 696 -- 321 -- 692 -- 311 -- 699 -- 298 -- 182.0
685 -- 292 -- 694 -- 321 -- 690 -- 313 -- 697 -- 296 -- 183.0
688 -- 289 -- 694 -- 315 -- 684 -- 314 -- 717 -- 288 -- 184.0
700 -- 285 -- 704 -- 322 -- 700 -- 310 -- 729 -- 284 -- 185.0
717 -- 296 -- 716 -- 340 -- 716 -- 321 -- 746 -- 292 -- 186.0
716 -- 308 -- 720 -- 342 -- 712 -- 333 -- 745 -- 308 -- 187.0
717 -- 306 -- 722 -- 343 -- 712 -- 319 -- 746 -- 306 -- 188.0
724 -- 305 -- 722 -- 349 -- 724 -- 330 -- 753 -- 304 -- 189.0
